,companyFullName,city,companyLabelList,companySize,createTime,district,education,financeStage,firstType,industryField,positionAdvantage,positionLables,positionName,salary,workYear,,
0,光合新知（北京）科技有限公司,北京,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']",150-500人,2018-03-10 13:37:00,朝阳区,不限,C轮,开发/测试/运维类,"移动互联网,教育","年假15天,免费早午餐,技术氛围好,弹性不打卡","['中级', '全栈', 'php', 'Java']",Python,15k-30k,1-3年,,
1,北京旷视科技有限公司,北京,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",500-2000人,2018-03-09 18:05:06,海淀区,本科,C轮,开发/测试/运维类,"移动互联网,硬件",平台好；福利多,"['后端开发', '后端', '爬虫', '测试平台']",python工程师,15k-30k,3-5年,,
2,杭州群核信息技术有限公司,杭州,"['两次加薪', '弹性工作', '期权丰厚', '两次晋升']",500-2000人,2018-03-08 18:24:03,拱墅区,本科,D轮及以上,开发/测试/运维类,移动互联网,期权激励、年度旅游、年终丰厚、零食水果,"['后端开发', 'Java', '系统开发', 'golang']",Python研发工程师,15k-23k,1-3年,,
3,深信服科技股份有限公司,深圳,"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",2000人以上,2018-03-09 15:36:24,南山区,本科,不需要融资,开发/测试/运维类,"信息安全,企业服务","平台大,发展快,待遇好,福利棒",['django'],Python软件开发工程师,15k-20k,1-3年,,
4,奇虎360科技有限公司,北京,[],2000人以上,2018-03-09 14:36:24,朝阳区,本科,上市公司,开发/测试/运维类,"移动互联网,游戏",五险一金 补充医疗 免费三餐和班车,"['C++', 'Go']",Python 开发工程师,25k-35k,3-5年,,
5,北京作业盒子科技有限公司,北京,"['技能培训', '年底双薪', '节日礼物', '年度旅游']",500-2000人,2018-03-10 13:53:37,朝阳区,本科,C轮,开发/测试/运维类,"移动互联网,教育","大平台,技术牛,好前景,核心职位","['后端开发', '大数据', '数据挖掘']",python工程师,20k-40k,3-5年,,
6,深圳虾皮信息科技有限公司,深圳,"['定期体检', '通讯津贴', '带薪年假', '绩效奖金']",2000人以上,2018-03-09 12:10:13,南山区,本科,上市公司,开发/测试/运维类,电子商务,东南亚跨境电商平台、福利棒、美女多,"['后端开发', '全栈', 'MySQL']",Python开发工程师,15k-30k,1-3年,,
7,北京爱奇艺科技有限公司,北京,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",2000人以上,2018-03-08 09:29:27,海淀区,硕士,D轮及以上,开发/测试/运维类,"广告营销,文化娱乐",14薪，12天带薪年假，地铁周边,"['云计算', '直播', '资深', '高级', 'django']",Python开发工程师,18k-28k,1-3年,,
8,北京三快在线科技有限公司,北京,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",2000人以上,2018-03-11 01:49:44,朝阳区,本科,D轮及以上,开发/测试/运维类,"移动互联网,O2O","优厚待遇,技术导向","['资深', '大数据', 'C++', 'Java']",服务端高级开发工程师Golang/Python,35k-45k,3-5年,,
9,北京市商汤科技开发有限公司,深圳,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",500-2000人,2018-03-07 15:48:40,南山区,本科,B轮,开发/测试/运维类,移动互联网,"人工智能,福利好,技术大牛多,弹性工作","['高级', '大数据', 'Java']",Python开发工程师,15k-30k,3-5年,,
10,北京天下秀科技股份有限公司,北京,"['技能培训', '节日礼物', '绩效奖金', '年度旅游']",500-2000人,2018-03-05 13:43:03,朝阳区,本科,C轮,开发/测试/运维类,"移动互联网,广告营销","团队氛围好,五险一金,节日福利","['云计算', '中级']",Python开发工程师,18k-25k,1-3年,,
11,北京车之家信息技术有限公司,北京,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",2000人以上,2018-03-01 15:35:13,海淀区,本科,上市公司,开发/测试/运维类,"移动互联网,文化娱乐",平台好，发展空间大,['golang'],Python开发工程师,15k-25k,3-5年,,
12,平安科技（深圳）有限公司,上海,"['节日礼物', '年度旅游', '岗位晋升', '技能培训']",2000人以上,2018-03-08 15:52:20,浦东新区,本科,不需要融资,开发/测试/运维类,金融,世界50强 节日福利 绩效丰厚,"['大数据', '数据挖掘']",Python开发工程师（上海）,15k-30k,不限,,
13,深圳市明源云客电子商务有限公司,深圳,"['高额六险一金', '年底双薪', '绩效奖金', 'N项经费']",2000人以上,2018-03-11 10:15:45,南山区,本科,上市公司,开发/测试/运维类,"移动互联网,企业服务",技术导向，牛人多，氛围赞，扁平管理,"['PHP', '大数据', 'Java', 'hadoop']",高级Python开发工程师,16k-22k,3-5年,,
14,腾讯科技(深圳)有限公司,深圳,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,2018-03-07 14:36:55,南山区,本科,上市公司,技术,"移动互联网 ,游戏",福利待遇优厚、大平台,[],Python开发工程师,15k-25k,3-5年,,
